ID,이름,플랫폼,팔로워 수,평균_좋아요,평균_댓글,평균_공유,평균_저장,진정성_지수,주요_콘텐츠_키워드,평균_피드_감성_태그
1,인플루언서_1,TikTok,84810,6133,1360,656,784,67,"비타민C,메이크업","밝은색감,인물중심"
2,인플루언서_2,YouTube,78397,4127,625,591,534,82,"각질,비타민C,약산성,시카,잡티","야외,풍경"
3,인플루언서_3,Instagram,59878,3924,1159,320,218,71,"비타민C,저자극,뷰티팁,속건조","밝은색감,인물중심"
4,인플루언서_4,YouTube,48052,3002,905,170,242,79,"히알루론산,미백,각질,메이크업","모노톤,무채색"
5,인플루언서_5,YouTube,82070,5973,766,292,379,52,"브라이트닝,시카,뷰티팁,약산성","밝은색감,인물중심"
6,인플루언서_6,Instagram,50823,3605,457,485,383,73,"진정,화장품하울,병풀,저자극","파스텔,웜톤"
7,인플루언서_7,Instagram,84227,7407,1671,630,581,60,"클렌징,메이크업,잡티","모노톤,무채색"
8,인플루언서_8,Instagram,43504,3339,355,417,397,70,"잡티,각질","실내,깔끔"
9,인플루언서_9,TikTok,28869,3594,377,237,173,58,"민감성,화장품하울,진정,수분,미백","파스텔,웜톤"
10,인플루언서_10,TikTok,53350,7261,389,219,414,55,"잡티,수분,비건,모공","파스텔,웜톤"
11,인플루언서_11,YouTube,9326,1138,141,63,45,80,"민감성,히알루론산,진정,비건,미백","모노톤,무채색"
12,인플루언서_12,Instagram,45587,2294,721,366,446,60,"기능성,속건조","채도높음,쿨톤"
13,인플루언서_13,YouTube,24416,1706,259,100,236,82,"화장품하울,기능성","파스텔,웜톤"
14,인플루언서_14,TikTok,1074,59,19,10,3,89,"모공,비타민C,피지,병풀","필름감성,저채도"
15,인플루언서_15,TikTok,10071,770,182,60,45,85,"수분,내돈내산,모공","파스텔,웜톤"
16,인플루언서_16,Instagram,99994,13995,1177,473,344,73,"뷰티팁,기능성,민감성","밝은색감,인물중심"
17,인플루언서_17,YouTube,78110,8835,658,729,704,54,"브라이트닝,잡티,비타민C","밝은색감,인물중심"
18,인플루언서_18,YouTube,68391,4324,1301,478,431,63,"미백,내돈내산,모공","채도높음,쿨톤"
19,인플루언서_19,Instagram,62993,6091,1003,485,622,77,"시카,피지,내돈내산,속건조,병풀","밝은색감,인물중심"
20,인플루언서_20,YouTube,8944,848,101,44,42,86,"메이크업,트러블,피지,잡티,시카","밝은색감,인물중심"
